Name,Seniority(year)
Marcus+Petschlies,5.197260273972603
Yusuke+Tokunaga,6.695890410958904
Moshe+Lindner,2.0821917808219177
Paweł+Pierański,0.0
Itai+Orr,0.0
Jan+van Esch,0.25205479452054796
Zuzana+Mitróová,0.0
Christopher+Czaban,0.27123287671232876
Bernd+Rosenow,16.827397260273973
Riccardo+Pagnani,0.0
Yusaku+Iwasawa,0.0
Didier+Ravot,0.0
Haim+Novogrodsky,0.0
Federico+Pettazzi,0.7287671232876712
Jacob+Neufeld,12.27945205479452
Jezabel+Curbelo,0.0
A. D. Prasad+Rao,1.8904109589041096
Blas R.+Alascio,0.0
Hadi+Rankoohi,0.0
François+Montanet,3.56986301369863
Rudolf+Schäfer,11.038356164383561
Stefan+Buhrandt,1.8767123287671232
Hilda+Mercado-Uribe,0.0
Nilay+Hazari,0.15342465753424658
Seppo O.+Sari,2.2054794520547945
Pierre J.+Becker,0.0
Manuel+Gruber,0.0
Takayuki+Nozaki,6.876712328767123
Samuel A.+Dickson,0.0
Yasuhiro+Shiraki,19.945205479452056
Alasdair+Routh,0.7479452054794521
Yuki+Sughiyama,8.07123287671233
Hirotaka+Toyoshima,0.0
Samuel+Ruben,9.257534246575343
Timothy E.+Meehan,0.0
Vasil+Tiberkevich,11.276712328767124
Barbara Dwight+Schriever,0.0
Igor E.+Dikshtein,6.027397260273973
Charles D.+Coley,0.0
Pablo Aitor+Postigo,0.0
Krzysztof+Walasek,0.0
Nick+Weppenaar,0.0
Giulio+Cerullo,17.252054794520546
Bernard B.+Watson,14.476712328767123
Edgar Josué+Landinez Borda,0.3424657534246575
Rajan K.+Chakrabarty,0.7671232876712328
Adam+Latosiński,0.0
Federica+LoVerso,0.1232876712328767
Anwar+Demsis,0.0
Charles S.+Fazel,0.07671232876712329
Orson L.+Anderson,0.0
Timothy J.+Karle,0.0
Madhura+Joglekar,0.7123287671232876
Yunjeong+Hong,0.0
Georg+Kastlunger,1.6602739726027398
Pavel+Bushev,10.813698630136987
Stefan+Schymura,0.0
Alexei V.+Fedotov,1.8821917808219177
Rasil+Warnakulasooriya,2.6410958904109587
Hiroshi+Yoshikawa,0.16712328767123288
Marc+Henneaux,36.81095890410959
Sergey S.+Kurennoy,18.983561643835618
Kenneth W.+Sulston,0.0
James M.+Cork,0.0
Patrycja+Paruch,0.0958904109589041
Konstantinos+Tzirakis,0.936986301369863
Christos G.+Tsagas,16.167123287671235
Clivia M.+Sotomayor Torres,0.9972602739726028
Warren+Grice,15.35890410958904
Norris+Johnston,0.0
Alexander+Leyderman,0.0
Chiara+Perazzolli,1.095890410958904
Bjørn+Skjetne,0.0
Hans E.+Suess,7.635616438356164
Adrian+Staicu,10.723287671232876
Nikolay+Kolev,2.4273972602739726
Yoshio+Inoue,7.279452054794521
Shunichi+Hishita,10.564383561643835
Wolfgang+Häusler,23.378082191780823
Margaret M.+Ramsey,0.0
Joel L.+Plawsky,10.356164383561644
Craig M.+Brown,17.304109589041097
Stefen+Lämmer,0.0
Rafael Hernández+Heredero,0.0
Shoichi+Nagata,27.882191780821916
Anna+Hiley,0.0
Eduardo+Zambrano,3.547945205479452
Belén+Maté,0.0
Rafal+Topolnicki,0.0
Amena L. T.+Khan,1.347945205479452
Rustam+Ibadov,3.1890410958904107
Anton+Artemyev,3.8657534246575342
Ashwani+Sharma,0.0
Marcello+Pavan,0.0
Katarzyna+Wójcik,0.0
Max J.+Breitschafter,0.0
Catherine+Barentin,2.756164383561644
José Manuel+Gordillo,5.76986301369863
Martin+Siegert,8.142465753424657
Jerry+DeLapp,0.0
Matthew R.+Dietrich,0.2136986301369863
Scott R.+Anderson,2.665753424657534
Saumyadip+Samui,0.0
Ellen+Moons,0.0
Benny+Lautrup,22.69041095890411
Dana Z.+Anderson,24.887671232876713
Jonas L.+Hansen,0.021917808219178082
Barbara+Piȩtka,0.0
JACK R.+MACDONALD,0.0
Glen+McCarthy,3.4684931506849317
Carey+Briggs,0.0
Alain+Bulou,0.0
TOSHIKO+YUASA,0.0
Sergei+Bravyi,8.704109589041096
Ralph+Carey,0.0
Eckehard+Schöll,22.284931506849315
Rico+Pohle,0.0
Piotr+Migdał,2.9287671232876713
Juntae+Kim,0.0
Charles S.+Adams,21.69041095890411
Knut J.+Børve,0.0
Alexei+Tsvelik,1.8383561643835618
Marcus+Elstner,11.758904109589041
Masaki+Hada,1.9917808219178081
Toshiyuki+Kanazawa,0.0
Warner+Fite,1.1534246575342466
Peter J.+Heaney,4.756164383561644
Ningning+Tang,0.0
Ivan+Marusic,9.032876712328767
Jeremi+Dauchet,0.0
Tadashi+Takemori,16.09041095890411
William K.+Wootters,34.33150684931507
Theodore C.+Harman,0.0
James+Dent,5.673972602739726
W. Ted+Masselink,6.424657534246576
H̊akan+Olin,0.0
Tresa M.+Pollock,2.627397260273973
Sergey+Ovchinnikov,0.0
Manuel+de la Cruz-Gutierrez,0.0
Assaf+Bar-Yaacov,0.0
Valentin+Barna,4.183561643835616
Judith+Petri,0.0
Joydev+Lahiri,0.7123287671232876
William E.+Hatfield,2.33972602739726
Yuching+Tu,0.0
Fahad+Mahmood,0.14794520547945206
Alexandre+Kudlinski,5.1068493150684935
Masayuki+Shimojo,5.153424657534247
Nikolay+Panev,0.0
Mathieu+Leroux,14.580821917808219
Michael G.+Christel,0.0
Fortunato Silva+de Menezes,0.0
Giancarlo+Ferrera,10.046575342465754
Naoki+Koide,0.0
Armando+Perez-Leija,5.0
Sachin+Goyal,0.0
Szilvia+Nagy,3.8109589041095893
Arlene C.+Aguilar,0.0
Antoine+Llebaria,0.0
James S.+Magnuson,0.0
Ferran+Garcia,0.0
Alfonso García-Parrado+Gómez-Lobo,0.0
Biplab+Pal,0.6712328767123288
Noriyuki+Shimoyama,0.0
Torsten+Hahn,0.6794520547945205
Shigeaki+Utsumi,0.0
Doron+Shlomo,0.0
Rajib+Biswas,0.0
M. Malek+Mansour,21.756164383561643
Gilles+Vertongen,0.0
Marcelo+de Oliveira Souza,0.0
Gerardo+Adesso,12.92876712328767
Amy+Novick-Cohen,0.0
Djordje+Spasojević,17.383561643835616
Rebekka+König,0.0
Moses+Lee,3.736986301369863
Marc+Palmer,0.0
James A.+Van Allen,10.676712328767124
Tomohiro+Kawamura,0.0
Alexei+Vasiliev,3.723287671232877
Alexander T.+Blumenau,0.0
Kamil+Orucoglu,0.0
Vladimir M.+Bedanov,0.0
Peter+Lichtner,29.268493150684932
Karin+John,10.364383561643836
Yair+Arian,0.9178082191780822
Hans Georg+Embacher,2.4136986301369863
Giuseppe+Arcovito,1.3205479452054794
Wiendelt+Steenbergen,0.0
Narda+Ben-Horin,0.0
