Article ID - Female,Article ID - Male,degree - Female,degree - Male,FF citations,MF citations,FM citations,MM citations
10.1103/PhysRevC.59.129,10.1103/PhysRevC.6.971,2,4,0,0,0,0
10.1103/PhysRevC.60.047302,10.1103/PhysRevC.6.971,1,4,0,0,0,0
10.1103/PhysRevC.91.055801,10.1103/PhysRevC.85.045808,11,6,1,2,1,0
10.1103/PhysRevC.86.045802,10.1103/PhysRevC.85.045808,6,6,3,1,1,0
10.1103/PhysRevC.93.025806,10.1103/PhysRevC.85.045808,6,6,1,1,1,0
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.80.044324,2,5,1,0,0,3
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.72.064308,2,19,1,0,0,3
10.1103/PhysRevC.90.034907,10.1103/PhysRevC.87.051901,25,27,5,8,1,20
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.49.2722,1,9,1,0,1,2
10.1103/PhysRevC.56.1844,10.1103/PhysRevC.49.R2890,44,2,8,8,0,1
10.1103/PhysRevC.56.1844,10.1103/PhysRevC.54.R1520,44,0,8,8,0,0
10.1103/PhysRevC.84.065804,10.1103/PhysRevC.82.034902,1,13,1,0,0,7
10.1103/PhysRevC.84.044615,10.1103/PhysRevC.33.1569,2,14,1,1,0,1
10.1103/PhysRevC.84.044615,10.1103/PhysRevC.31.295,2,11,1,1,0,3
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.71.064905,0,9,0,0,4,5
10.1103/PhysRevC.79.054911,10.1103/PhysRevC.83.045201,22,13,2,9,1,2
10.1103/PhysRevC.91.065205,10.1103/PhysRevC.87.024912,3,23,0,0,1,10
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.64.064901,0,3,0,0,1,2
10.1103/PhysRevC.56.1467,10.1103/PhysRevC.44.1171,1,1,0,0,0,0
10.1103/PhysRevC.56.1467,10.1103/PhysRevC.43.285,1,2,0,0,0,1
10.1103/PhysRevC.94.011901,10.1103/PhysRevC.89.024908,0,4,0,0,1,2
10.1103/PhysRevC.94.011901,10.1103/PhysRevC.92.014905,0,0,0,0,0,0
10.1103/PhysRevC.94.011901,10.1103/PhysRevC.87.061901,0,6,0,0,2,0
10.1103/PhysRevC.94.011901,10.1103/PhysRevC.88.044905,0,4,0,0,1,2
10.1103/PhysRevC.94.064905,10.1103/PhysRevC.63.015802,0,0,0,0,0,0
10.1103/PhysRevC.86.045803,10.1103/PhysRevC.66.064319,2,0,1,1,0,0
10.1103/PhysRevC.86.045803,10.1103/PhysRevC.77.015810,2,8,1,1,0,1
10.1103/PhysRevC.94.064905,10.1103/PhysRevC.69.034903,0,81,0,0,2,47
10.1103/PhysRevC.50.2893,10.1103/PhysRevC.55.2866,1,1,0,0,0,0
10.1103/PhysRevC.91.014315,10.1103/PhysRevC.69.014309,4,15,0,0,2,2
10.1103/PhysRevC.91.014315,10.1103/PhysRevC.59.853,4,40,0,0,0,7
10.1103/PhysRevC.76.044323,10.1103/PhysRevC.69.014309,14,15,3,1,2,2
10.1103/PhysRevC.76.044323,10.1103/PhysRevC.59.853,14,40,3,1,0,7
10.1103/PhysRevC.81.034321,10.1103/PhysRevC.69.014309,2,15,0,0,2,2
10.1103/PhysRevC.81.034321,10.1103/PhysRevC.59.853,2,40,0,0,0,7
10.1103/PhysRevC.85.044320,10.1103/PhysRevC.69.014309,7,15,2,0,2,2
10.1103/PhysRevC.89.024302,10.1103/PhysRevC.69.014309,9,15,2,0,2,2
10.1103/PhysRevC.93.054307,10.1103/PhysRevC.69.014309,0,15,0,0,2,2
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.69.014309,2,15,1,0,2,2
10.1103/PhysRevC.84.024317,10.1103/PhysRevC.69.014309,0,15,0,0,2,2
10.1103/PhysRevC.75.024302,10.1103/PhysRevC.69.014309,18,15,5,1,2,2
10.1103/PhysRevC.85.044320,10.1103/PhysRevC.59.853,7,40,2,0,0,7
10.1103/PhysRevC.89.024302,10.1103/PhysRevC.59.853,9,40,2,0,0,7
10.1103/PhysRevC.93.054307,10.1103/PhysRevC.59.853,0,40,0,0,0,7
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.59.853,2,40,1,0,0,7
10.1103/PhysRevC.84.024317,10.1103/PhysRevC.59.853,0,40,0,0,0,7
10.1103/PhysRevC.75.024302,10.1103/PhysRevC.59.853,18,40,5,1,0,7
10.1103/PhysRevC.73.035211,10.1103/PhysRevC.69.034605,6,10,0,0,0,8
10.1103/PhysRevC.73.035211,10.1103/PhysRevC.62.034605,6,6,0,0,0,2
10.1103/PhysRevC.90.034907,10.1103/PhysRevC.87.051901,25,27,5,8,1,20
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.49.2212,0,15,0,0,1,1
10.1103/PhysRevC.80.014307,10.1103/PhysRevC.84.065810,0,24,0,0,3,5
10.1103/PhysRevC.81.051601,10.1103/PhysRevC.84.065810,7,24,0,0,3,5
10.1103/PhysRevC.94.034322,10.1103/PhysRevC.93.049801,0,0,0,0,0,0
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.53.R2048,0,8,0,0,0,0
10.1103/PhysRevC.94.054317,10.1103/PhysRevC.71.064303,0,8,0,0,2,1
10.1103/PhysRevC.94.054317,10.1103/PhysRevC.80.014307,0,0,0,0,0,0
10.1103/PhysRevC.91.034332,10.1103/PhysRevC.85.045808,3,6,1,0,1,0
10.1103/PhysRevC.83.064602,10.1103/PhysRevC.67.054607,1,13,0,0,2,0
10.1103/PhysRevC.83.064602,10.1103/PhysRevC.83.044615,1,3,0,0,0,1
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.85.034322,2,12,1,0,0,1
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.80.044324,2,5,1,0,0,3
10.1103/PhysRevC.84.034912,10.1103/PhysRevC.83.044911,12,11,0,4,2,2
10.1103/PhysRevC.84.044910,10.1103/PhysRevC.83.044911,4,11,4,0,2,2
10.1103/PhysRevC.94.034322,10.1103/PhysRevC.93.049801,0,0,0,0,0,0
10.1103/PhysRevC.56.1467,10.1103/PhysRevC.47.2213,1,11,0,0,0,1
10.1103/PhysRevC.90.034907,10.1103/PhysRevC.89.024910,25,3,5,8,0,0
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.85.045808,2,6,1,0,1,0
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.76.025801,0,15,0,0,1,2
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.75.024907,0,10,0,0,0,5
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.57.266,0,20,0,0,0,8
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.83.044910,0,4,0,0,0,3
10.1103/PhysRevC.89.054915,10.1103/PhysRevC.89.044904,0,5,0,0,0,3
10.1103/PhysRevC.74.064907,10.1103/PhysRevC.68.034913,30,192,8,14,6,80
10.1103/PhysRevC.74.064907,10.1103/PhysRevC.69.044901,30,23,8,14,2,10
10.1103/PhysRevC.74.064907,10.1103/PhysRevC.69.034903,30,81,8,14,2,47
10.1103/PhysRevC.85.021303,10.1103/PhysRevC.84.037607,15,2,2,1,0,2
10.1103/PhysRevC.22.2591,10.1103/PhysRevC.9.883,14,22,2,2,0,3
10.1103/PhysRevC.72.068202,10.1103/PhysRevC.56.510,2,13,0,1,0,2
10.1103/PhysRevC.72.068202,10.1103/PhysRevC.45.1939,2,2,0,1,0,1
10.1103/PhysRevC.72.068202,10.1103/PhysRevC.50.2815,2,4,0,1,0,0
10.1103/PhysRevC.22.2591,10.1103/PhysRevC.19.1127,14,0,2,2,0,0
10.1103/PhysRevC.22.2591,10.1103/PhysRevC.2.1171,14,7,2,2,0,2
10.1103/PhysRevC.22.2591,10.1103/PhysRevC.16.619,14,0,2,2,0,0
10.1103/PhysRevC.22.2591,10.1103/PhysRevC.16.873,14,0,2,2,0,0
10.1103/PhysRevC.22.2591,10.1103/PhysRevC.11.664,14,0,2,2,0,0
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.91.034612,0,1,0,0,0,0
10.1103/PhysRevC.91.014316,10.1103/PhysRevC.89.024302,0,9,0,0,2,0
10.1103/PhysRevC.5.153,10.1103/PhysRevC.7.180,7,4,3,1,0,1
10.1103/PhysRevC.76.014003,10.1103/PhysRevC.75.044001,10,6,6,0,1,1
10.1103/PhysRevC.84.067601,10.1103/PhysRevC.84.044615,1,2,0,1,1,1
10.1103/PhysRevC.84.044615,10.1103/PhysRevC.94.044603,2,0,1,1,0,0
10.1103/PhysRevC.84.034908,10.1103/PhysRevC.84.034309,28,9,2,10,0,3
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.91.034612,0,1,0,0,0,0
10.1103/PhysRevC.92.064326,10.1103/PhysRevC.93.014312,0,1,0,0,0,0
10.1103/PhysRevC.80.024322,10.1103/PhysRevC.69.034602,3,2,3,0,2,0
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.88.054620,0,1,0,0,1,0
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.65.044601,10,20,1,1,0,13
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.84.054324,9,6,0,3,0,2
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.92.035208,0,0,0,0,0,0
10.1103/PhysRevC.77.024905,10.1103/PhysRevC.74.064907,10,30,4,3,8,14
10.1103/PhysRevC.89.057603,10.1103/PhysRevC.88.057603,1,0,1,0,0,0
10.1103/PhysRevC.91.014316,10.1103/PhysRevC.89.024302,0,9,0,0,2,0
10.1103/PhysRevC.90.037602,10.1103/PhysRevC.84.044614,0,0,0,0,0,0
10.1103/PhysRevC.89.014620,10.1103/PhysRevC.89.067601,0,0,0,0,0,0
10.1103/PhysRevC.84.067601,10.1103/PhysRevC.84.044615,1,2,0,1,1,1
10.1103/PhysRevC.84.044615,10.1103/PhysRevC.94.044603,2,0,1,1,0,0
10.1103/PhysRevC.89.014620,10.1103/PhysRevC.94.044604,0,0,0,0,0,0
10.1103/PhysRevC.88.057603,10.1103/PhysRevC.88.054620,0,1,0,0,1,0
10.1103/PhysRevC.84.024317,10.1103/PhysRevC.84.061302,0,11,0,0,0,2
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.93.054605,2,0,1,0,0,0
10.1103/PhysRevC.89.057603,10.1103/PhysRevC.88.057603,1,0,1,0,0,0
10.1103/PhysRevC.76.044323,10.1103/PhysRevC.76.054309,14,15,3,1,1,8
10.1103/PhysRevC.76.044323,10.1103/PhysRevC.80.014315,14,8,3,1,0,4
10.1103/PhysRevC.75.044001,10.1103/PhysRevC.79.065501,6,10,1,1,0,2
10.1103/PhysRevC.71.037302,10.1103/PhysRevC.72.064308,8,19,2,2,0,3
10.1103/PhysRevC.78.044306,10.1103/PhysRevC.75.044001,0,6,0,0,1,1
10.1103/PhysRevC.81.047302,10.1103/PhysRevC.69.034602,3,2,0,2,2,0
10.1103/PhysRevC.90.034910,10.1103/PhysRevC.85.034904,2,1,0,1,1,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.86.044616,0,1,0,0,0,0
10.1103/PhysRevC.90.037602,10.1103/PhysRevC.83.064604,0,0,0,0,0,0
10.1103/PhysRevC.89.014620,10.1103/PhysRevC.94.044604,0,0,0,0,0,0
10.1103/PhysRevC.74.054601,10.1103/PhysRevC.53.849,26,4,2,2,2,0
10.1103/PhysRevC.69.024615,10.1103/PhysRevC.53.849,4,4,0,2,2,0
10.1103/PhysRevC.92.044003,10.1103/PhysRevC.94.064318,1,0,0,0,0,0
10.1103/PhysRevC.89.035807,10.1103/PhysRevC.90.015801,1,1,0,1,0,1
10.1103/PhysRevC.34.890,10.1103/PhysRevC.48.R513,0,4,0,0,0,0
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.86.044616,0,1,0,0,0,0
10.1103/PhysRevC.90.037602,10.1103/PhysRevC.84.044614,0,0,0,0,0,0
10.1103/PhysRevC.63.064608,10.1103/PhysRevC.68.055205,6,11,2,2,2,4
10.1103/PhysRevC.90.054332,10.1103/PhysRevC.84.024317,2,0,1,0,0,0
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.86.014609,9,4,0,3,1,2
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.86.024302,9,0,0,3,0,0
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.92.035208,0,0,0,0,0,0
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.91.045206,0,1,0,0,0,1
10.1103/PhysRevC.63.064608,10.1103/PhysRevC.67.055202,6,47,2,2,3,13
10.1103/PhysRevC.63.064608,10.1103/PhysRevC.86.048201,6,7,2,2,3,2
10.1103/PhysRevC.10.2568,10.1103/PhysRevC.31.1012,4,9,0,0,0,1
10.1103/PhysRevC.91.014316,10.1103/PhysRevC.75.024302,0,18,0,0,5,1
10.1103/PhysRevC.94.065501,10.1103/PhysRevC.93.024322,0,2,0,0,1,0
10.1103/PhysRevC.10.2568,10.1103/PhysRevC.16.873,4,0,0,0,0,0
10.1103/PhysRevC.87.064308,10.1103/PhysRevC.90.041602,1,3,0,0,0,1
10.1103/PhysRevC.87.064308,10.1103/PhysRevC.88.037602,1,4,0,0,0,1
10.1103/PhysRevC.87.064308,10.1103/PhysRevC.93.064609,1,0,0,0,0,0
10.1103/PhysRevC.63.064608,10.1103/PhysRevC.68.055205,6,11,2,2,2,4
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.88.054620,0,1,0,0,1,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.88.054620,0,1,0,0,1,0
10.1103/PhysRevC.83.047604,10.1103/PhysRevC.88.054620,2,1,1,1,1,0
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.87.044325,9,10,0,3,0,2
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.88.054327,9,6,0,3,0,1
10.1103/PhysRevC.72.024301,10.1103/PhysRevC.80.024301,14,12,8,2,0,0
10.1103/PhysRevC.73.044317,10.1103/PhysRevC.80.024301,5,12,1,1,0,0
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.94.045203,0,0,0,0,0,0
10.1103/PhysRevC.7.1864,10.1103/PhysRevC.28.1069,1,2,0,0,0,0
10.1103/PhysRevC.72.024301,10.1103/PhysRevC.78.064316,14,28,8,2,0,12
10.1103/PhysRevC.85.044320,10.1103/PhysRevC.90.054308,7,1,2,0,0,0
10.1103/PhysRevC.44.1040,10.1103/PhysRevC.53.2243,1,0,0,0,0,0
10.1103/PhysRevC.6.1608,10.1103/PhysRevC.7.248,13,12,0,1,0,1
10.1103/PhysRevC.6.1608,10.1103/PhysRevC.41.1075,13,13,0,1,1,3
10.1103/PhysRevC.91.014316,10.1103/PhysRevC.89.024302,0,9,0,0,2,0
10.1103/PhysRevC.69.024615,10.1103/PhysRevC.60.054604,4,16,0,2,2,0
10.1103/PhysRevC.91.014316,10.1103/PhysRevC.75.024302,0,18,0,0,5,1
10.1103/PhysRevC.87.064308,10.1103/PhysRevC.88.054308,1,3,0,0,0,1
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.78.014007,10.1103/PhysRevC.63.034609,11,10,2,6,1,1
10.1103/PhysRevC.80.054001,10.1103/PhysRevC.63.034609,10,10,1,4,1,1
10.1103/PhysRevC.78.044306,10.1103/PhysRevC.75.044001,0,6,0,0,1,1
10.1103/PhysRevC.83.047604,10.1103/PhysRevC.85.024320,2,2,1,1,0,0
10.1103/PhysRevC.83.047604,10.1103/PhysRevC.84.014611,2,1,1,1,1,0
10.1103/PhysRevC.73.044317,10.1103/PhysRevC.78.064316,5,28,1,1,0,12
10.1103/PhysRevC.74.024608,10.1103/PhysRevC.88.024312,1,2,0,1,0,1
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.91.045206,0,1,0,0,0,1
10.1103/PhysRevC.71.024302,10.1103/PhysRevC.71.054317,7,0,0,3,0,0
10.1103/PhysRevC.74.024608,10.1103/PhysRevC.87.044325,1,10,0,1,0,2
10.1103/PhysRevC.81.038501,10.1103/PhysRevC.93.055501,1,0,0,0,0,0
10.1103/PhysRevC.57.R22,10.1103/PhysRevC.51.822,8,6,3,0,2,0
10.1103/PhysRevC.89.034316,10.1103/PhysRevC.90.027301,4,2,0,0,0,0
10.1103/PhysRevC.89.034316,10.1103/PhysRevC.90.054327,4,7,0,0,0,0
10.1103/PhysRevC.86.024903,10.1103/PhysRevC.85.034904,9,1,1,2,1,0
10.1103/PhysRevC.91.014316,10.1103/PhysRevC.89.024302,0,9,0,0,2,0
10.1103/PhysRevC.94.054317,10.1103/PhysRevC.94.064001,0,0,0,0,0,0
10.1103/PhysRevC.74.024608,10.1103/PhysRevC.78.064601,1,1,0,1,0,1
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.89.064608,0,0,0,0,0,0
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.91.034612,0,1,0,0,0,0
10.1103/PhysRevC.58.2864,10.1103/PhysRevC.51.822,15,6,1,0,2,0
10.1103/PhysRevC.34.1950,10.1103/PhysRevC.35.545,3,14,0,0,0,3
10.1103/PhysRevC.91.054908,10.1103/PhysRevC.85.034904,5,1,1,0,1,0
10.1103/PhysRevC.74.024608,10.1103/PhysRevC.77.024318,1,7,0,1,0,6
10.1103/PhysRevC.74.024608,10.1103/PhysRevC.81.061302,1,10,0,1,0,4
10.1103/PhysRevC.90.034910,10.1103/PhysRevC.85.034904,2,1,0,1,1,0
10.1103/PhysRevC.84.034912,10.1103/PhysRevC.94.024912,12,0,0,4,0,0
10.1103/PhysRevC.80.024322,10.1103/PhysRevC.69.034602,3,2,3,0,2,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.65.044601,10,20,1,1,0,13
10.1103/PhysRevC.84.034912,10.1103/PhysRevC.93.024910,12,0,0,4,0,0
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.84.054324,9,6,0,3,0,2
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.86.024302,9,0,0,3,0,0
10.1103/PhysRevC.84.034309,10.1103/PhysRevC.94.024341,9,0,0,3,0,0
10.1103/PhysRevC.6.2177,10.1103/PhysRevC.16.873,4,0,2,0,0,0
10.1103/PhysRevC.80.064909,10.1103/PhysRevC.82.064904,13,1,8,4,0,0
10.1103/PhysRevC.93.044909,10.1103/PhysRevC.80.064909,0,13,0,0,8,4
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.66.034610,10,9,1,1,1,1
10.1103/PhysRevC.68.014318,10.1103/PhysRevC.65.034325,17,1,1,6,0,1
10.1103/PhysRevC.80.064001,10.1103/PhysRevC.75.044001,4,6,1,0,1,1
10.1103/PhysRevC.75.044001,10.1103/PhysRevC.81.034001,6,3,1,1,1,1
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.93.054605,2,0,1,0,0,0
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.93.034329,2,2,1,0,0,0
10.1103/PhysRevC.77.065202,10.1103/PhysRevC.92.034905,6,7,0,4,0,3
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.91.034612,0,1,0,0,0,0
10.1103/PhysRevC.78.014007,10.1103/PhysRevC.63.034609,11,10,2,6,1,1
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.87.054006,10,4,1,1,0,2
10.1103/PhysRevC.93.044909,10.1103/PhysRevC.85.034904,0,1,0,0,1,0
10.1103/PhysRevC.75.044001,10.1103/PhysRevC.83.057001,6,0,1,1,0,0
10.1103/PhysRevC.77.044007,10.1103/PhysRevC.75.044001,3,6,1,1,1,1
10.1103/PhysRevC.76.014003,10.1103/PhysRevC.75.044001,10,6,6,0,1,1
10.1103/PhysRevC.77.065202,10.1103/PhysRevC.90.015204,6,5,0,4,0,4
10.1103/PhysRevC.5.153,10.1103/PhysRevC.16.873,7,0,3,1,0,0
10.1103/PhysRevC.77.065202,10.1103/PhysRevC.91.015206,6,1,0,4,0,1
10.1103/PhysRevC.34.1950,10.1103/PhysRevC.35.545,3,14,0,0,0,3
10.1103/PhysRevC.50.757,10.1103/PhysRevC.34.1950,1,3,1,0,0,0
10.1103/PhysRevC.34.1950,10.1103/PhysRevC.34.2186,3,0,0,0,0,0
10.1103/PhysRevC.81.047302,10.1103/PhysRevC.69.034602,3,2,0,2,2,0
10.1103/PhysRevC.80.024322,10.1103/PhysRevC.69.034602,3,2,3,0,2,0
10.1103/PhysRevC.85.067601,10.1103/PhysRevC.83.064604,4,0,0,2,0,0
10.1103/PhysRevC.6.2177,10.1103/PhysRevC.11.228,4,0,2,0,0,0
10.1103/PhysRevC.57.R22,10.1103/PhysRevC.53.849,8,4,3,0,2,0
10.1103/PhysRevC.58.2864,10.1103/PhysRevC.53.849,15,4,1,0,2,0
10.1103/PhysRevC.79.014307,10.1103/PhysRevC.83.014320,3,18,0,1,1,3
10.1103/PhysRevC.57.R22,10.1103/PhysRevC.51.822,8,6,3,0,2,0
10.1103/PhysRevC.74.024608,10.1103/PhysRevC.90.054319,1,1,0,1,0,1
10.1103/PhysRevC.93.054328,10.1103/PhysRevC.93.064314,0,0,0,0,0,0
10.1103/PhysRevC.89.014902,10.1103/PhysRevC.84.034912,13,12,4,4,0,4
10.1103/PhysRevC.84.034912,10.1103/PhysRevC.85.064915,12,38,0,4,4,26
10.1103/PhysRevC.94.054317,10.1103/PhysRevC.94.064001,0,0,0,0,0,0
10.1103/PhysRevC.58.2864,10.1103/PhysRevC.51.822,15,6,1,0,2,0
10.1103/PhysRevC.7.1864,10.1103/PhysRevC.11.228,1,0,0,0,0,0
10.1103/PhysRevC.81.047302,10.1103/PhysRevC.69.034602,3,2,0,2,2,0
10.1103/PhysRevC.69.034602,10.1103/PhysRevC.84.054604,2,2,2,0,0,0
10.1103/PhysRevC.93.054328,10.1103/PhysRevC.93.064609,0,0,0,0,0,0
10.1103/PhysRevC.92.044003,10.1103/PhysRevC.93.014001,1,2,0,0,0,0
10.1103/PhysRevC.94.044311,10.1103/PhysRevC.92.044003,0,1,0,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.84.044620,0,15,0,0,0,4
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.88.054620,0,1,0,0,1,0
10.1103/PhysRevC.84.057602,10.1103/PhysRevC.83.064604,0,0,0,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.89.064608,0,0,0,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.86.051601,0,8,0,0,0,0
10.1103/PhysRevC.86.034607,10.1103/PhysRevC.83.064604,2,0,1,1,0,0
10.1103/PhysRevC.89.057603,10.1103/PhysRevC.83.064604,1,0,1,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.91.034612,0,1,0,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.85.024620,0,8,0,0,0,3
10.1103/PhysRevC.27.2987,10.1103/PhysRevC.39.1242,3,1,0,0,0,0
10.1103/PhysRevC.81.014008,10.1103/PhysRevC.63.034609,7,10,0,4,1,1
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.88.054620,0,1,0,0,1,0
10.1103/PhysRevC.83.047604,10.1103/PhysRevC.88.054620,2,1,1,1,1,0
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.91.045206,0,1,0,0,0,1
10.1103/PhysRevC.92.044003,10.1103/PhysRevC.94.064318,1,0,0,0,0,0
10.1103/PhysRevC.92.044003,10.1103/PhysRevC.92.054311,1,6,0,0,0,1
10.1103/PhysRevC.93.024322,10.1103/PhysRevC.93.054605,2,0,1,0,0,0
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.66.014613,10,3,1,1,0,0
10.1103/PhysRevC.92.044003,10.1103/PhysRevC.93.034619,1,0,0,0,0,0
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.89.064608,0,0,0,0,0,0
10.1103/PhysRevC.83.047604,10.1103/PhysRevC.89.064608,2,0,1,1,0,0
10.1103/PhysRevC.89.057603,10.1103/PhysRevC.84.044614,1,0,1,0,0,0
10.1103/PhysRevC.84.044614,10.1103/PhysRevC.91.034612,0,1,0,0,0,0
10.1103/PhysRevC.78.014007,10.1103/PhysRevC.63.034609,11,10,2,6,1,1
10.1103/PhysRevC.80.054001,10.1103/PhysRevC.63.034609,10,10,1,4,1,1
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.87.024606,10,8,1,1,3,4
10.1103/PhysRevC.63.034609,10.1103/PhysRevC.72.014602,10,1,1,1,0,0
10.1103/PhysRevC.89.057603,10.1103/PhysRevC.83.047604,1,2,1,0,1,1
10.1103/PhysRevC.83.047604,10.1103/PhysRevC.91.034612,2,1,1,1,0,0
10.1103/PhysRevC.76.064908,10.1103/PhysRevC.79.054903,3,2,0,0,0,0
10.1103/PhysRevC.89.014905,10.1103/PhysRevC.85.034904,6,1,3,2,1,0
10.1103/PhysRevC.6.2177,10.1103/PhysRevC.7.180,4,4,2,0,0,1
10.1103/PhysRevC.76.054319,10.1103/PhysRevC.80.044324,24,5,7,1,0,3
10.1103/PhysRevC.76.054319,10.1103/PhysRevC.77.044312,24,7,7,1,0,5
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.92.035208,0,0,0,0,0,0
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.91.045206,0,1,0,0,0,1
10.1103/PhysRevC.91.035201,10.1103/PhysRevC.93.065204,0,0,0,0,0,0
10.1103/PhysRevC.76.064908,10.1103/PhysRevC.80.014907,3,1,0,0,0,0
10.1103/PhysRevC.77.024905,10.1103/PhysRevC.74.064907,10,30,4,3,8,14
10.1103/PhysRevC.76.044323,10.1103/PhysRevC.83.034006,14,4,3,1,0,0
10.1103/PhysRevC.92.044003,10.1103/PhysRevC.94.064001,1,0,0,0,0,0
10.1103/PhysRevC.85.064329,10.1103/PhysRevC.86.064323,16,1,2,2,0,0
10.1103/PhysRevC.87.064308,10.1103/PhysRevC.88.054308,1,3,0,0,0,1
10.1103/PhysRevC.93.044909,10.1103/PhysRevC.85.034904,0,1,0,0,1,0
10.1103/PhysRevC.92.024918,10.1103/PhysRevC.85.034904,2,1,1,0,1,0
10.1103/PhysRevC.76.064908,10.1103/PhysRevC.84.064913,3,11,0,0,0,7
10.1103/PhysRevC.76.064908,10.1103/PhysRevC.81.064909,3,14,0,0,0,8
10.1103/PhysRevC.92.044003,10.1103/PhysRevC.94.034003,1,0,0,0,0,0
10.1103/PhysRevC.90.034910,10.1103/PhysRevC.85.034904,2,1,0,1,1,0
10.1103/PhysRevC.85.034904,10.1103/PhysRevC.86.064904,1,16,1,0,1,6
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.88.054620,0,1,0,0,1,0
10.1103/PhysRevC.85.067601,10.1103/PhysRevC.83.064604,4,0,0,2,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.84.044613,0,8,0,0,2,2
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.86.044616,0,1,0,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.89.064608,0,0,0,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.86.051601,0,8,0,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.85.024320,0,2,0,0,0,0
10.1103/PhysRevC.86.034607,10.1103/PhysRevC.83.064604,2,0,1,1,0,0
10.1103/PhysRevC.89.057603,10.1103/PhysRevC.83.064604,1,0,1,0,0,0
10.1103/PhysRevC.83.064604,10.1103/PhysRevC.84.014611,0,1,0,0,1,0
